"Name","Curriculum","FS1","KG1/FS2","KG2/Y1","G1/Y2","G2/Y3","G3/Y4","G4/Y5","G5/Y6","G6/Y7","G7/Y8","G8/Y9","G9/Y10","G10/Y11","G11/Y12","G12/Y13"
"GEMS United School","American","32421","33588","53177","70077","70077","70077","70077","70077","70077","75676","75676","79258","79258","79258","79258"
"GEMS Wellington Academy,Al Khail","British","43050","54224","54224","54224","54224","54224","54224","54224","74764","74764","74764","84129","84129","85000","85000"
"GEMS Wellington Academy,Silicon Oasis","British","36540","45380","45380","45380","45380","45380","45380","45380","73080","73080","73080","75438","75438","82511","82511"
"GEMS Wellington International School","British","43050","54224","54224","54224","54224","54224","54224","54224","74764","74764","74764","84129","84129","93658","93658"
"GEMS Wellington Primary School","British","42508","53582","53582","53582","53582","53582","53582","53582","","","","","","",""
"GEMS Winchester School Dubai","British","","11261","14076","14076","14076","14076","14076","15013","15013","15013","17828","19473","19473","",""
"GEMS World Academy,Dubai","IB","64414","64414","80579","80579","80579","80579","80579","92732","92732","92732","92732","102091","102091","111813","111813"
"German International School,Dubai","German","36868","36868","40751","43498","43498","43498","43498","55030","59597","59597","59597","59597","59597","69652","69652"
"Global Indian International School, Dubai","CBSE,IB","15059","16118","17176","18235","19294","20353","21412","22471","23529","24588","25647","","","",""
"Grammar School Dubai","British","4686","4686","4686","4686","4686","4686","5272","5272","5272","5272","6444","6444","6444","6444",""
"Greenfield Community School","IB","","41441","41441","49732","49732","49732","49732","49732","49732","62440","62440","62440","62440","76315","76315"
"Greenwood International School","American","","18229","18229","20661","20661","20661","23091","23091","23091","25523","25523","25523","27952","27952","27952"
"Gulf Indian High School (GIHS)","CBSE","","3449","3449","3636","3636","3636","4013","4013","4389","4389","4389","5078","5078","6521","6521"
"Gulf Model School","CBSE","","3500","3500","3920","3920","3920","4440","4440","4440","4440","5080","5080","5080","6350","6350"
"H. H. Shaikh Rashid Al Maktoum Pakistani School,Dubai","Pakistani","","3130","3130","3130","3130","3130","3130","3130","3612","3612","3612","3612","3612","6259","6259"
"Hartland International School","British","49750","56750","65000","67000","68000","70000","75000","78000","80000","81000","81000","","","",""
"Horizon International School","British,IGCSE","34517","34517","39621","39621","45212","45212","48335","48335","54745","54745","54745","59000","59000","65000","65000"
